Language,n_nodes,n_edges,density,avg_degree,std_degree,avg_clustering,n_components
English,10000,116313,0.0023264926492649264,23.2626,14.212594458437207,0.2977238078434407,1
Russian,10000,121659,0.0024334233423342335,24.3318,12.946656277201463,0.34850814644675754,1
Turkish,10000,128629,0.002572837283728373,25.7258,16.014781121201754,0.30551348106947884,1
