,n_articles,total_tokens,total_chars,mean_tokens_per_article,std_tokens_per_article,median_tokens_per_article,mean_chars_per_token
English,350000.0,368910801.0,2260090898.0,2202.611,2113.1423467620443,1544.5,6.126388525013666
Russian,349988.0,163742644.0,1157657251.0,1532.27,2003.942514420012,829.0,7.069980200148716
Turkish,349969.0,75577889.0,544018228.0,614.501,1028.8687515903086,260.5,7.198113564669688
