,n_articles,total_tokens,total_chars,mean_tokens_per_article,std_tokens_per_article,median_tokens_per_article,mean_chars_per_token,n_nodes,n_edges,density,avg_degree,avg_clustering
English,350000.0,368910801.0,2260090898.0,2202.611,2113.1423467620443,1544.5,6.126388525013666,1000.0,74226.0,0.1486006006006006,148.452,0.644113337555178
Russian,349988.0,163742644.0,1157657251.0,1532.27,2003.942514420012,829.0,7.069980200148716,1000.0,354483.0,0.7096756756756757,708.966,0.9015682348605273
Turkish,349969.0,75577889.0,544018228.0,614.501,1028.8687515903086,260.5,7.198113564669688,1000.0,345286.0,0.6912632632632633,690.572,0.8999264024838612
