lang,rep,n_nodes,n_edges,density,avg_degree,std_degree,min_degree,max_degree,avg_clustering,n_components
English,1,10000,74757,0.0014952895289528953,14.9514,9.517091889857952,0,231,0.2153432271726486,14
English,2,10000,74699,0.001494129412941294,14.9398,9.524713956859808,0,240,0.21534275202946182,14
English,3,10000,74726,0.0014946694669466948,14.9452,9.501083988682554,0,230,0.21498869287973527,13
English,4,10000,74742,0.001494989498949895,14.9484,9.509728568155877,0,232,0.21504266443688816,13
English,5,10000,74685,0.0014938493849384938,14.937,9.525168292476517,0,229,0.21507069106103904,15
English,6,10000,74769,0.0014955295529552955,14.9538,9.500108713062183,0,226,0.21576966665007544,14
English,7,10000,74759,0.0014953295329532953,14.9518,9.558549929774914,0,243,0.21523520342446,15
English,8,10000,74710,0.0014943494349434943,14.942,9.514706301300109,0,233,0.21561134507287075,12
English,9,10000,74671,0.0014935693569356936,14.9342,9.482767020232016,0,235,0.21525354320220585,14
English,10,10000,74729,0.0014947294729472948,14.9458,9.476479428564176,0,233,0.21522027407619385,14
English,11,10000,74769,0.0014955295529552955,14.9538,9.479054043521431,0,224,0.21529294552476744,13
English,12,10000,74716,0.0014944694469446944,14.9432,9.488570691099898,0,224,0.21541996161573437,15
English,13,10000,74755,0.0014952495249524952,14.951,9.488508786948557,0,232,0.21534203691174686,13
English,14,10000,74712,0.0014943894389438943,14.9424,9.477693930487522,0,227,0.21524868344699913,14
English,15,10000,74732,0.0014947894789478949,14.9464,9.562338994200111,0,232,0.2155341779920076,14
English,16,10000,74752,0.0014951895189518952,14.9504,9.533013156394992,0,231,0.21556123819815598,14
English,17,10000,74699,0.001494129412941294,14.9398,9.49910395563708,0,242,0.2155176699910527,15
English,18,10000,74715,0.0014944494449444944,14.943,9.512462930282567,0,245,0.21485691716290858,14
English,19,10000,74728,0.0014947094709470948,14.9456,9.482385809489086,0,236,0.21534930168364544,13
English,20,10000,74750,0.0014951495149514952,14.95,9.515077508880314,0,233,0.2150748578826339,13
English,21,10000,74713,0.0014944094409440943,14.9426,9.498142199398785,0,232,0.21536592423298825,13
English,22,10000,74722,0.0014945894589458947,14.9444,9.509253842442108,0,225,0.21553195568633046,14
English,23,10000,74692,0.001493989398939894,14.9384,9.478238519893873,0,228,0.21539933934017366,15
English,24,10000,74797,0.0014960896089608962,14.9594,9.490255615103315,0,227,0.21550760591982854,14
English,25,10000,74730,0.0014947494749474948,14.946,9.521632423066961,0,233,0.2154495631267276,12
English,26,10000,74738,0.001494909490949095,14.9476,9.487531514572165,0,226,0.21534792913305506,14
English,27,10000,74725,0.0014946494649464947,14.945,9.53138893341364,0,235,0.2149060591196252,13
English,28,10000,74725,0.0014946494649464947,14.945,9.505923153486988,0,234,0.21570132518520768,15
English,29,10000,74668,0.0014935093509350936,14.9336,9.474301612256177,0,237,0.21486136942171466,14
English,30,10000,74676,0.0014936693669366937,14.9352,9.464227435982295,0,234,0.21586730874068416,14
English,31,10000,74712,0.0014943894389438943,14.9424,9.477324635148888,0,230,0.21489442194671846,14
Russian,1,10000,75567,0.0015114911491149114,15.1134,8.561246430281049,0,147,0.276655679442485,19
Russian,2,10000,75583,0.0015118111811181119,15.1166,8.602186026818996,0,154,0.2767975097967111,20
Russian,3,10000,75550,0.0015111511151115111,15.11,8.565424682991498,0,141,0.27610580914201693,17
Russian,4,10000,75606,0.0015122712271227123,15.1212,8.596098566210138,0,135,0.27648820757311976,19
Russian,5,10000,75566,0.0015114711471147114,15.1132,8.578588797698604,0,140,0.276232375401434,17
Russian,6,10000,75653,0.0015132113211321133,15.1306,8.606598842748511,0,149,0.27668930927678953,20
Russian,7,10000,75652,0.0015131913191319133,15.1304,8.600627642213096,0,144,0.27680608256446426,18
Russian,8,10000,75662,0.0015133913391339134,15.1324,8.637631054866837,0,145,0.276322077649466,22
Russian,9,10000,75615,0.0015124512451245124,15.123,8.567162365684451,0,146,0.27616316544688635,18
Russian,10,10000,75629,0.0015127312731273127,15.1258,8.594298945231078,0,143,0.2769668756856921,19
Russian,11,10000,75600,0.0015121512151215122,15.12,8.593916452933435,0,142,0.2763951016148965,20
Russian,12,10000,75625,0.0015126512651265126,15.125,8.590621339577249,0,140,0.2761217940370933,19
Russian,13,10000,75610,0.0015123512351235123,15.122,8.59709927824496,0,138,0.2760929114085899,18
Russian,14,10000,75590,0.001511951195119512,15.118,8.587821376810302,0,146,0.2762130548327444,20
Russian,15,10000,75593,0.001512011201120112,15.1186,8.583480298806538,0,137,0.27656243834875327,21
Russian,16,10000,75614,0.0015124312431243124,15.1228,8.580228444511254,0,140,0.27571890026463375,19
Russian,17,10000,75615,0.0015124512451245124,15.123,8.56006255818262,0,140,0.27618162463721785,19
Russian,18,10000,75657,0.0015132913291329134,15.1314,8.61977575346366,0,149,0.27627670888573996,20
Russian,19,10000,75597,0.0015120912091209121,15.1194,8.564703359720056,0,145,0.2761682002287833,18
Russian,20,10000,75640,0.0015129512951295129,15.128,8.595476484756386,0,140,0.27650754973507213,21
Russian,21,10000,75655,0.0015132513251325133,15.131,8.635058714334258,0,146,0.2769300096598846,18
Russian,22,10000,75594,0.001512031203120312,15.1188,8.594328744003223,0,141,0.27656483465108145,19
Russian,23,10000,75589,0.001511931193119312,15.1178,8.559831958630964,0,140,0.2763901129657104,19
Russian,24,10000,75713,0.0015144114411441143,15.1426,8.620386606179562,0,146,0.2767577251339535,20
Russian,25,10000,75620,0.0015125512551255125,15.124,8.615464235895823,0,144,0.2767058391338125,20
Russian,26,10000,75615,0.0015124512451245124,15.123,8.620711745557903,0,148,0.276159842259089,21
Russian,27,10000,75526,0.0015106710671067107,15.1052,8.549791398624881,0,133,0.27623302307675124,20
Russian,28,10000,75572,0.0015115911591159117,15.1144,8.558020369220909,0,138,0.2765006208242277,19
Russian,29,10000,75585,0.001511851185118512,15.117,8.574993352767104,0,141,0.27682719021991614,18
Russian,30,10000,75637,0.0015128912891289128,15.1274,8.625541678062891,0,146,0.27642173860232144,21
Russian,31,10000,75623,0.0015126112611261126,15.1246,8.571351984372127,0,142,0.27600986265652067,19
Turkish,1,10000,73530,0.0014707470747074708,14.706,10.225622915011094,0,163,0.2348199389196422,27
Turkish,2,10000,73567,0.0014714871487148714,14.7134,10.26362803495918,0,171,0.2355451909393565,28
Turkish,3,10000,73490,0.00146994699469947,14.698,10.255261868913928,0,166,0.23446276004956243,28
Turkish,4,10000,73488,0.0014699069906990699,14.6976,10.233755627334473,0,166,0.23497554632606615,26
Turkish,5,10000,73588,0.001471907190719072,14.7176,10.2622341739019,0,173,0.23485468431535397,28
Turkish,6,10000,73564,0.0014714271427142714,14.7128,10.265520744706523,0,170,0.23488300248609545,26
Turkish,7,10000,73544,0.001471027102710271,14.7088,10.243632293283472,0,170,0.23491393533065102,25
Turkish,8,10000,73536,0.001470867086708671,14.7072,10.282337679730228,0,177,0.23491630781971384,29
Turkish,9,10000,73481,0.0014697669766976697,14.6962,10.229765664960269,0,172,0.23480106209960544,31
Turkish,10,10000,73536,0.001470867086708671,14.7072,10.247041922428151,0,173,0.23540590550977086,27
Turkish,11,10000,73519,0.0014705270527052706,14.7038,10.23442551196695,0,173,0.23457443910399567,28
Turkish,12,10000,73519,0.0014705270527052706,14.7038,10.303526850549767,0,180,0.2350561631488831,25
Turkish,13,10000,73487,0.0014698869886988698,14.6974,10.231531324293544,0,171,0.23468248313790474,27
Turkish,14,10000,73470,0.0014695469546954696,14.694,10.244147792764412,0,173,0.23517867628779296,27
Turkish,15,10000,73504,0.0014702270227022701,14.7008,10.246476436317023,0,170,0.23525930279488494,25
Turkish,16,10000,73519,0.0014705270527052706,14.7038,10.257478518622401,0,173,0.2349725001998055,26
Turkish,17,10000,73443,0.001469006900690069,14.6886,10.199648525316938,0,165,0.23497338415131966,28
Turkish,18,10000,73546,0.001471067106710671,14.7092,10.270629745054585,0,182,0.2347402463355797,29
Turkish,19,10000,73481,0.0014697669766976697,14.6962,10.260833570426918,0,180,0.2352581280979223,28
Turkish,20,10000,73434,0.0014688268826882687,14.6868,10.214279502735375,0,166,0.23441121599903494,26
Turkish,21,10000,73453,0.0014692069206920693,14.6906,10.167903994432677,0,165,0.23457642066272874,25
Turkish,22,10000,73557,0.0014712871287128712,14.7114,10.256690988813109,0,175,0.23515396918486461,27
Turkish,23,10000,73496,0.00147006700670067,14.6992,10.212459026111194,0,173,0.2347319644390935,25
Turkish,24,10000,73522,0.0014705870587058707,14.7044,10.237461630697329,0,174,0.23487968456656014,24
Turkish,25,10000,73598,0.0014721072107210722,14.7196,10.277722307982446,0,170,0.23492914653084462,25
Turkish,26,10000,73490,0.00146994699469947,14.698,10.218688565564566,0,167,0.23459727702173547,26
Turkish,27,10000,73447,0.0014690869086908692,14.6894,10.178287068067986,0,166,0.2343252720620304,27
Turkish,28,10000,73472,0.0014695869586958696,14.6944,10.213618782782133,0,174,0.23511032047172734,28
Turkish,29,10000,73478,0.0014697069706970697,14.6956,10.22643342715338,0,172,0.2347242614025047,29
Turkish,30,10000,73504,0.0014702270227022701,14.7008,10.240999919929694,0,171,0.23462442350978846,27
Turkish,31,10000,73513,0.0014704070407040705,14.7026,10.222199041302218,0,166,0.23479148396457666,26
