lang,n80_mean,n80_std,n90_mean,n90_std,n95_mean,n95_std
English,78.2,0.4472135954999579,113.2,0.4472135954999579,147.2,0.447213595499958
Russian,70.2,0.4472135954999579,105.0,0.0,138.2,0.447213595499958
Turkish,73.6,0.5477225575051661,109.4,0.5477225575051661,143.6,0.5477225575051661
